id,situation,given,when,then,enforced_by,test_name,status
MT-S1-01,Report a problem,a Staff Member holding maintenance.report at a Property where maintenance is available,they report a problem about a room with a title and a priority,"the request is new, numbered MT-n at that Property, names them as reporter and the room, and an audit record says so, in one transaction",module,reporting_a_problem_creates_a_new_request,approved
MT-S1-02,Numbered per Property,"two Properties, and two reports at one of them at the same moment",the requests are written,"each Property counts from 1, and the two simultaneous reports get two different consecutive numbers rather than one refusal",database_constraint,request_numbers_are_per_property_and_never_collide,approved
MT-S1-03,Who reported it,"a caller naming reported_by, reported_at or the number in an insert",it is written,"refused with 42501: those columns are in no grant, and the database stamps them",policy,the_reporter_is_stamped_not_supplied,approved
MT-S1-04,Without the permission,a Staff Member whose role lacks maintenance.report,they report a problem,"refused by the policy, nothing written, and the screen offers no New request button",policy,reporting_without_the_permission_is_refused,approved
MT-S1-05,Maintenance is not available,the Property's maintenance capability is off or the Organization's Subscription is not active,"a Staff Member with every permission reports, moves or reads","the write is refused by all five gates in the policy, and the board and the rail entry are absent",policy,maintenance_is_absent_where_it_is_not_available,approved
MT-S1-06,A Property out of reach,a Staff Member assigned to one Property,they read or write requests at another,"nothing comes back and nothing is written, indistinguishable from a Property with no requests",policy,requests_at_a_property_out_of_reach_are_absent,approved
MT-S1-07,Another Property's room,a request at Property A,it names a Unit of Property B,refused by a composite foreign key: a request's Unit is at the request's Property,database_constraint,a_request_names_a_unit_at_its_own_property,approved
MT-S1-08,About nothing,a request that names neither a Unit nor equipment,it is written,refused by a check constraint,database_constraint,a_request_is_about_a_unit_or_equipment,approved
MT-S1-09,Bounds,"a title shorter than 3 or longer than 200 characters after trimming, or details longer than 2000",it is written,refused by a check constraint; the form says which field,database_constraint,a_request_title_and_details_are_bounded,approved
MT-S1-10,The board,requests at a Property in every state,a Staff Member reaching the Property opens Maintenance,"four columns — New, In progress, Waiting for parts, Done — each with its count; Done shows the last 30 days; cancelled requests are behind a filter; each card shows number, title, where, priority, assignee and out of order",module,the_board_groups_requests_by_state,approved
MT-S1-11,Move a request,a Staff Member holding maintenance.manage and a new request,they move it to In progress,"it is in progress, stamped with when it moved, and the audit record names the state it left",module,a_request_is_moved,approved
MT-S1-12,Read-only board,a Staff Member who reaches the Property without maintenance.manage,they open the board,"they see every request and no control that moves, assigns or cancels one; a forged move is refused by the policy",policy,moving_without_manage_is_refused,approved
MT-S1-13,The same move twice,a request in progress,"it is moved to In progress again, or the form is submitted twice",nothing changes and nothing fails,module,moving_a_request_to_its_own_state_is_harmless,approved
MT-S1-14,Moved by somebody else first,two managers looking at a new request,one moves it to Done and the other then moves it to In progress,"the second move is refused as stale, names the state it is in now, and changes nothing: every move names the state the mover saw",module,a_move_from_a_state_the_request_has_left_is_refused,approved
MT-S1-15,Cancel needs a reason,an open request,it is cancelled with a reason of 3 to 200 characters,"it is cancelled with that reason; without one, or with a reason on any other state, a check constraint refuses",database_constraint,a_cancelled_request_has_a_reason,approved
MT-S1-16,A done request is not cancelled,a done request,it is cancelled,refused: it was fixed; reopen it first,trigger,a_done_request_cannot_be_cancelled,approved
MT-S1-17,Reopen,a done or cancelled request,a manager reopens it,"it is new or in progress again, its cancel reason is cleared, and the audit record keeps what it was",module,a_request_is_reopened,approved
MT-S1-18,Assign,a request and a Staff Member whose membership is active and who reaches the Property,a manager assigns it to them,"it names them, and the audit record says who assigned whom",module,a_request_is_assigned,approved
MT-S1-19,Assign somebody who cannot see it,"a Staff Member of another Organization, a revoked one, or one without reach to the Property",a request is assigned to them,refused by a trigger: an assignee reaches the request's Property,trigger,an_assignee_reaches_the_property,approved
MT-S1-20,An assignee loses reach,a request assigned to somebody whose reach is later taken away,the board is read,"the request keeps the name, marked as no longer reaching the Property, and the picker no longer offers them",module,an_assignee_without_reach_is_marked,approved
MT-S1-21,Priority,a request that can wait,a manager makes it urgent,"it is urgent and audited; priority is one of urgent, this_week, can_wait",database_constraint,a_request_priority_is_changed,approved
MT-S1-22,Only some columns move,a manager,"they update a request's Property, Unit, number or reporter","refused with 42501: a grant lists the columns an update may touch, and where it is and who reported it are not among them",policy,a_request_update_touches_only_its_granted_columns,approved
MT-S1-23,Never deleted,any request,anybody deletes it,refused: there is no delete policy and no delete grant,policy,a_request_is_never_deleted,approved
MT-S1-24,Report from Rooms,a Staff Member with maintenance.report on the Rooms screen of a Property with maintenance,they choose Report a problem on a room,the request form opens with that room chosen,ui_only,rooms_offers_report_a_problem,approved
