id,situation,given,when,then,enforced_by,test_name,status
OA-S1-01,A query outside withOrganizationContext(),"a read of an Organization-owned table on the ranza_app connection, with no request context published",the query runs,"it returns no rows and raises nothing: the policies see a null acting user and deny, which reads as missing data rather than an error. That is why reaching such a table outside the context is a bug (AGENTS.md security invariants, ADR 0001, ADR 0007)",policy,tenant-isolation.test.ts: denies when no context is set — the pooled connection must not leak; organization_property_foundation.test.sql: without request context no Property is visible; organization_property_foundation.test.sql: without request context no Organization is visible,approved
OA-S1-02,One pooled connection serves two people in turn,Prisma pools connections under the one ranza_app role,"a request publishes Staff Member A, and the same connection then runs a second user's request or a contextless query","each sees only their own Organization and the contextless query sees nothing: the context is transaction-local, so it cannot outlive the transaction that set it (ADR 0001; commit a980f9e)",module,tenant-isolation.test.ts: isolates a second user on the same pooled client; tenant-isolation.test.ts: does not leak context into a later contextless query,approved
OA-S1-03,How the acting user reaches the database,withOrganizationContext() is handed a user id,it opens the read,"it validates the id, binds it as a parameter rather than interpolating it, calls app.set_request_context() and runs the query inside that same transaction; a malformed id is refused before the database is reached (commit 3289a6e)",module,tenant-context.test.ts: publishes the acting user before running the query; tenant-context.test.ts: binds the user id instead of interpolating it; tenant-context.test.ts: runs the query inside the same transaction that set the context; tenant-context.test.ts: rejects a malformed user id before reaching the database,approved
OA-S1-04,The runtime role is privileged,"ranza_app is neither a table owner nor BYPASSRLS, and every table carries FORCE row level security",DATABASE_URL is pointed at the owner or a BYPASSRLS role,"the isolation suite goes red on every assertion, because such a role reads every Organization; queries are never run as a privileged role to make them work (AGENTS.md security invariants, ADR 0001; commit a980f9e, which watched this test fail against the owner)",policy,tenant-isolation.test.ts: returns only the acting user's Organization,approved
OA-S1-05,The Workspace or the Portal is started on the migration connection,DIRECT_URL is the owner's connection and bypasses every policy,DATABASE_URL is set to the same URL,"the composition root refuses to build. It cannot detect any other privileged role from a URL; the worker asserts its role against pg_roles at boot (ADR 0018), the two request hosts do not. Stated in ADR 0012's consequences; nothing tests either host's refusal — only the worker's",module,,proposed
OA-S1-06,The query path reaching credentials,"auth_user, auth_session, auth_account, auth_verification, auth_two_factor and auth_rate_limit hold password hashes, session tokens, second factors and counters",code on the ranza_app connection selects from any of them,"permission denied: ranza_auth holds the grants and ranza_app none. RLS is deliberately absent there because authentication happens before an identity is known, so role grants are the boundary (ADR 0005, AGENTS.md security invariants)",database_constraint,auth-flow.test.ts: denies the tenant query path any access to credentials; two_factor_credentials.test.sql: the tenant query path holds no privilege on password hashes; two_factor_credentials.test.sql: the tenant query path holds no privilege on the TOTP secret,approved
OA-S1-07,The credential role reaching Organization data,"ranza_auth has policies scoped to it on public.users and auth_identities, because sign-up needs them under FORCE row level security",a defect on the credential connection reads Organization-owned tables,"it reaches none: ranza_auth holds no grant on any Organization-owned table, so reading every identity row reveals no Organization's data (ADR 0005). Stated, and asserted only for the outbox tables (platform_outbox.test.sql); no suite asserts the absence across public",database_constraint,,proposed
OA-S1-08,Gate 1 alone — a lapsed Subscription,the Organization's Subscription is suspended or cancelled and gates 2 to 5 are open,a Staff Member asks for any capability at any of its Properties,"denied, and every read gated on it comes back empty (blueprint 3.5; commit 3289a6e)",database_function,organization_property_foundation.test.sql: gate 1 denies when the Subscription is suspended; workspace-access.test.ts: gate 1 — a cancelled Subscription denies,approved
OA-S1-09,Gate 2 alone — a module not in the Subscription,the Organization has no active Entitlement for the module and every other gate is open,a Staff Member asks for a capability of that module,denied (blueprint 3.5),database_function,organization_property_foundation.test.sql: gate 2 denies a module the Organization is not entitled to; workspace-access.test.ts: gate 2 — a revoked Entitlement denies,approved
OA-S1-10,Gate 3 alone — a capability the Property has not enabled,"the module is entitled, but the Property's property_capabilities row is disabled or absent",a Staff Member asks for that capability at that Property,"denied either way; a disabled row and no row are the same answer (blueprint 3.5, story 2)",database_function,organization_property_foundation.test.sql: gate 3 denies a capability that is not enabled for the Property; organization_property_foundation.test.sql: gate 3 denies a Property with no capability row; workspace-access.test.ts: gate 3 — a capability disabled on the Property denies,approved
