id,situation,given,when,then,enforced_by,test_name,status
FD-S1-01,Undo by the person who checked in,a Staff Member holds front_desk.check_in and not front_desk.check_out,they withdraw a mistaken check-in,it succeeds: withdrawing is part of checking in,policy,a_role_that_can_check_in_can_withdraw_a_check_in,approved
FD-S1-02,Check-out without check-in,a Staff Member holds front_desk.check_out only,"they check a Guest out, or try to withdraw a check-in",the check-out succeeds and the withdrawal is refused,policy,a_role_that_can_check_out_cannot_withdraw_a_check_in,approved
FD-S1-03,Check-in without check-out,a Staff Member holds front_desk.check_in only,they try to end a Stay,refused,policy,a_role_that_can_check_in_cannot_check_out,approved
FD-S1-04,A check-in role at a Property that bills,an Organization's own role holds front_desk.check_in and not finance.manage_folio,they check a Guest in at a Property with the finance capability,the Folio the check-in needs is opened; posting to it still needs finance.post_charge,policy,a_role_that_can_check_in_opens_the_folio_a_check_in_needs,approved
FD-S1-05,Cancelling has its own permission,"front_desk.cancel is in the catalogue and in the shipped owner, manager and front desk roles",a Staff Member cancels a booking or records a no-show,only a role holding front_desk.cancel can; a check-in role cannot cancel and a cancel role cannot check in,policy,a_role_that_can_cancel_can_cancel_a_confirmed_reservation,approved
FD-S1-06,A departed Stay is history,a Stay is departed,"any role, the owner included, moves it to cancelled or back in house","refused: the only Stay transitions are reserved to in_house or cancelled, and in_house to departed or cancelled; undoing a check-out is not built",trigger,nobody_withdraws_a_stay_that_has_already_departed,approved
FD-S1-07,Terminal Reservations,a Reservation is cancelled or no_show,"any role, the owner included, moves it anywhere",refused: only the transitions drawn in docs/features/check-out/states.mmd with a command behind them exist,trigger,a_cancelled_reservation_stays_cancelled_whoever_asks,approved
FD-S1-08,Reopening a Folio,a Staff Member holds a front-desk permission and not finance.manage_folio,they reopen a closed Folio,"refused: front-desk roles may close a Folio as part of ending a Stay, and nothing else",policy,reopening_a_folio_stays_finances,approved
FD-S1-09,A role with no front-desk command,a Staff Member holds only front_desk.book,they update a Reservation's status,"nothing changes and nothing is raised, the same answer as a row out of reach",policy,a_role_holding_none_of_the_commands_changed_nothing,approved
FD-S2-01,A Guest overstays,a Guest is in house past their planned departure,another Guest is checked in to the same Unit,refused with UnitHasOccupantError: one in-house Stay per Unit whatever the dates say,database_constraint,nobody_is_checked_in_on_top_of_a_guest_who_overstayed,approved
