id,situation,given,when,then,enforced_by,test_name,status
RC-S1-01,Normal read,"a Property with rooms, beds, bookings and Stays",a Staff Member opens the calendar,"one row per room with its beds beneath it, and every booking and Stay drawn as a bar on the Unit it names",module,the_calendar_draws_every_unit_and_its_bars,approved
RC-S1-02,CONCURRENCY — a check-in lands during the read,a confirmed Reservation being checked in by another Staff Member,the calendar is read at the same moment,"the Guest is drawn exactly once — as confirmed or as in house, never both and never neither — because Units and bars come from one statement",module,a_check_in_during_the_read_draws_the_guest_once,approved
RC-S1-03,TIME — the window is half-open,"bars ending on the first day, ending on the second, starting on the last day and starting the day after the window",the calendar is read,"the first and the last are not drawn; the two in between are. Nights are daterange(starts_on, ends_on, '[)') on both sides",module,the_window_is_half_open_at_both_edges,approved
RC-S1-04,TIME — today is the Property's day,Properties in Pacific/Kiritimati (UTC+14) and Pacific/Pago_Pago (UTC−11),each calendar is read,"today and the default window follow app.property_today for that Property, not the server's or the reader's calendar",module,today_is_the_property_day_in_far_timezones,approved
RC-S1-05,Default window,no start date and no length in the request,the calendar is read,the window starts three days before the Property's today and runs 14 days,module,the_default_window_starts_three_days_before_today,approved
RC-S1-06,Window length is an allow-list,"a request for 7, 14, 30, 0, 365 or a word",the calendar is read,"7, 14 and 30 are honoured; anything else reads 14 days. The read is never unbounded",module,only_7_14_or_30_days_are_read,approved
RC-S1-07,A start date that is not a date,a start of 2026-02-30 or free text,the calendar is read,the default window is read instead; nothing is refused and no error reaches the screen,module,a_malformed_start_date_falls_back_to_the_default,approved
RC-S1-08,Far past or far future,a start date five years back or ahead,the calendar is read,"the window is read like any other — there is no range limit on where it starts, only on its length",module,any_start_date_is_readable,approved
RC-S1-09,TIME — midnight passes while it is open,the calendar showing the default window,the Property's day rolls and the next refresh arrives,today's column moves and a Stay due yesterday becomes overdue. A window with an explicit start in the URL stays where it is,module,the_next_refresh_after_midnight_moves_today,approved
RC-S1-10,A confirmed booking,a confirmed Reservation made with createReservation,the calendar is read,"it is drawn over its planned nights, solid, labelled with the Guest's name",module,a_confirmed_reservation_draws_its_planned_nights,approved
RC-S1-11,A requested booking,a requested Reservation (no command creates one on main; the test inserts it),the calendar is read,"it is drawn dashed and labelled Requested. It holds no night: the nightly free count does not drop for it, and Show requested can hide it",module,a_requested_reservation_is_drawn_and_holds_nothing,approved
RC-S1-12,Checked in — drawn once,a confirmed Reservation checked in with checkIn,the calendar is read,"one bar, the Stay's, carrying the Reservation's id. The Reservation's own checked_in status draws nothing",module,a_checked_in_reservation_is_drawn_once_as_its_stay,approved
RC-S1-13,TIME — arrived late,a Reservation for the 5th to the 8th checked in on the 6th,the calendar is read and the bar opened,the bar starts on the 6th; the drawer shows booked 5–8 and arrived 6,module,the_stay_bar_starts_on_the_day_of_arrival,approved
RC-S1-14,REVERSAL — a check-in withdrawn,"a Stay withdrawn with reverseCheckIn, its Reservation confirmed again",the calendar is read,the withdrawn Stay is not drawn and the Reservation is drawn again over its planned nights,module,a_withdrawn_check_in_draws_the_reservation_again,approved
RC-S1-15,TIME — overdue,a Stay in house whose ends_on is before today,the calendar is read,"the bar runs through tonight, not to the planned end, and says Overdue with the date it was due. The Guest is in the Unit",module,an_overdue_stay_is_drawn_through_tonight,approved
RC-S1-16,TIME — leaving today,a Stay in house whose ends_on is today,the calendar is read,it is not overdue and its bar ends today,module,a_stay_leaving_today_is_not_overdue,approved
