id,situation,given,when,then,enforced_by,test_name,status
SP-S1-01,Normal invite,active Organization with an un-lapsed Subscription and an actor holding staff authority,the actor invites a person by email address,"membership is written active immediately, an invitation is written pending, and an audit record naming the actor is written, all in one transaction",module,inviting_writes_an_active_membership_and_a_pending_invitation,approved
SP-S1-02,Invite with a role and Properties at once,same as SP-S1-01 and the form names a role and two Properties,the actor invites,"the membership, the role and both assignments are written together or not at all",module,inviting_with_a_role_and_properties_is_one_transaction,approved
SP-S1-03,Invite somebody already in this Organization,an active or revoked membership already exists for that user and Organization,the actor invites them again,refused: one person has one membership per Organization,database_constraint,a_second_membership_for_one_person_is_unrepresentable,approved
SP-S1-04,Invite into an Organization the actor does not reach,actor holds staff authority in Organization A,the actor invites into Organization B,refused and indistinguishable from the Organization not existing,policy,inviting_into_an_unreached_organization_is_refused,approved
SP-S1-05,Lapsed Subscription,the Organization's Subscription is suspended,the actor invites,refused by the commercial gate before anything is written,policy,a_lapsed_subscription_invites_nobody,approved
SP-S1-06,Invite naming no Property,active Organization and the form names no Property,the actor invites,"membership is active and reaches nothing, which is a normal state and shown as such on the roster",module,a_staff_member_may_reach_no_property,approved
SP-S1-07,Accepting the invitation,a pending invitation exists and the membership is already active,the person sets a password,"they can sign in, the invitation becomes accepted, and the membership is unchanged because it was never waiting",module,accepting_grants_a_password_not_reach,approved
SP-S1-08,Accepting a withdrawn invitation,the membership was revoked before the person accepted,the person opens the link and sets a password,refused: the invitation is withdrawn and no session is issued,module,a_withdrawn_invitation_cannot_be_accepted,approved
SP-S1-09,Changing a role,an active membership holding a shipped role,the actor changes it to another role,"the role changes, every session that Staff Member holds ends, and an audit record is written, whether the role is one Ranza ships or one the Organization authored, from the roster as from the module",module,changing_a_role_ends_their_sessions; staff.spec.ts: an administrator changes somebody's role from the roster,approved
SP-S1-10,Changing to another Organization's role,a role authored by Organization B,the actor in Organization A assigns it,unrepresentable: a role reference carries the Organization and a composite foreign key proves the pair,database_constraint,a_role_from_another_organization_is_unrepresentable,approved
SP-S1-11,Revoking a membership,an active membership with two Property assignments,the actor revokes it,"the membership and both assignments become revoked, every session ends, and nothing is deleted",module,revoking_revokes_the_assignments_and_deletes_nothing,approved
SP-S1-12,Revoking the last Owner,exactly one active membership holds staff authority,the actor revokes or demotes it,refused: an Organization always has somebody who can add staff,trigger,the_last_holder_of_staff_authority_cannot_be_removed,approved
SP-S1-13,Two Owners demote each other at once,two active memberships hold staff authority and two transactions start together,both demotions commit,"exactly one succeeds and the other is refused, because the trigger locks the Organization's memberships rather than counting them",trigger,two_simultaneous_demotions_leave_one_owner,approved
SP-S1-14,Undo inside the window,a membership revoked a moment ago,the actor undoes the revoke,"the same membership row returns to active with its assignments, so the person is one thread before and after",module,undo_returns_the_same_membership,approved
SP-S1-15,Undo after the window,a membership revoked long enough ago,the actor undoes the revoke,refused: after the window it takes a fresh invitation,module,undo_is_refused_once_the_window_has_passed,approved
SP-S1-16,Re-inviting a revoked member,a membership revoked after the window closed,the actor invites them again,"the same row returns to active and a new invitation is written, because one person has one membership per Organization",module,re_inviting_reuses_the_membership_and_writes_a_new_invitation,approved
SP-S1-17,Assigning a Property of another Organization,a Property belonging to Organization B,the actor in Organization A assigns it,unrepresentable: the assignment carries organization_id and the composite foreign key proves the pair,database_constraint,an_assignment_cannot_cross_organizations,approved
SP-S1-18,Unassigning a Property,an active assignment,the actor removes it,"the assignment becomes revoked, the row stays as the record that they used to reach it, and sessions end",module,unassigning_revokes_and_ends_sessions,approved
SP-S1-19,Re-assigning a Property,an assignment revoked earlier,the actor assigns the same Property again,the same row returns to active,module,re_assigning_reuses_the_row,approved
SP-S1-20,Reading the roster,any active membership in the Organization,the Staff Member opens the screen,"they see every Staff Member of their own Organization, and none of another's",policy,the_roster_is_organization_wide_and_no_wider,approved
SP-S1-21,Does a lapsed Subscription block revoking,SP-S1-05 refuses an invite when the Subscription has lapsed,the actor revokes a compromised account while lapsed,"removing reach is never blocked by money: the commercial gates apply to invite, assign, change_role, define and edit, and not to revoke, unassign or retire. Blocking a revoke turns an unpaid invoice into a security incident.",policy,a_lapsed_subscription_still_revokes,approved
SP-S1-22,How long the undo window is,SP-S1-15 refuses an undo after a window,the actor asks how long they have,"the window is 24 hours of wall clock from revoked_at, carried in the update's own predicate so a late undo returns no row rather than raising. An Organization has no business date and ADR 0021 is about Properties, so wall clock is the only clock there is.",module,undo_is_refused_more_than_a_day_after_the_revoke,approved
SP-S1-23,Whether an invitation expires,states.mmd draws an expire transition,a pending invitation is never accepted,"an invitation expires seven days after it is written. A password-setting link that never expires is a standing credential. The membership is untouched by the expiry because it was never waiting on it, and re-inviting writes a fresh invitation against the same membership.",module,an_invitation_older_than_a_week_cannot_be_accepted,approved
SP-S1-24,Demoting yourself,the actor holds staff authority and is not the only one who does,the actor changes their own role,"allowed, and their own sessions end with everybody else's",module,an_actor_may_demote_themselves_when_they_are_not_the_last,approved
SP-S1-25,Signing in with no reach,an active membership with no assignment and no Organization-wide scope,the person signs in,"the workspace opens empty and says so, rather than looking broken",module,a_staff_member_with_no_reach_sees_an_explanation,approved
SP-S1-26,Getting the invitation to the person,no notification module exists and blueprint 5.12 specifies one,the actor invites somebody and there is no way to send an email,"the invitation link is shown to the actor who created it, to pass on by hand. Notifications (blueprint 5.12) replaces that when it exists; until then this is honest and it is one field on a screen.",module,the_invitation_link_is_shown_to_its_author,approved
SP-S1-27,Revoking withdraws the pending invitation,a membership is revoked while its invitation is still pending,the actor revokes,"the invitation becomes withdrawn in the same transaction, so a live link cannot outlive the job it was for",module,revoking_withdraws_a_pending_invitation,approved
SP-S1-28,Assigning a Property to somebody already here,an active membership with no assignment to that Property,the actor assigns it,the assignment is written active and every session that Staff Member holds ends,module,assigning_a_property_ends_their_sessions,approved
SP-S1-29,Recording that reach changed,"a command changed a membership, a role or an assignment",the transaction commits,"staff.reach_changed is published in the same transaction carrying ids and no names, so a session that should have ended cannot be lost by the handler not existing yet",module,reach_changes_publish_one_event_per_transaction,approved
SP-S2-01,The permission catalogue,a role is a named set of permissions,the gate asks whether this actor may run this command,"every command in the product is a row in public.staff_permissions and a role holds a subset of it; a permission that is not in the catalogue is refused, so a typo in a role editor is a refusal rather than a role that silently grants nothing",trigger,a_role_cannot_hold_a_permission_the_catalogue_does_not_have,approved
