id,situation,given,when,then,enforced_by,test_name,status
CD-S1-01,Closing before the cutoff,a Property whose business date is D,a Staff Member closes D,"refused with 55000: a day closes only once the clock has ended it, so a close never moves app.property_today()",trigger,refuses_to_close_a_day_whose_cutoff_has_not_passed,approved
CD-S1-02,Closing a day that has not begun,a Property whose business date is D,a Staff Member closes D + 1,refused with 55000 like CD-S1-01,trigger,refuses_to_close_a_day_that_has_not_begun,approved
CD-S1-03,The night shift,"a cutoff of 04:00, the clock at 02:00 local, and D - 1 already closed",a Staff Member opens Close the day,"the screen prepares D: its open items are listed and resolvable, and it says D can be closed after 04:00; nothing is offered to close",module,a_night_shift_prepares_the_day_it_cannot_yet_close,approved
CD-S1-04,The first close at a Property,a Property with no close at all,a Staff Member closes today - 1,it closes: the first close anchors the Property's history,trigger,the_first_close_at_a_property_is_the_day_before_today,approved
CD-S1-05,The first close reaching back,a Property with no close at all,a Staff Member closes today - 2,refused with 55000: the first close is the day before today,trigger,the_first_close_cannot_reach_back_past_yesterday,approved
CD-S1-06,Out of order,a Property whose last close is D - 2,a Staff Member closes D,refused with 55000: D waits for D - 1,trigger,a_day_waits_for_the_day_before_it,approved
CD-S1-07,A backlog,"a Property whose last close is today - 5",a Staff Member opens Close the day,"the day offered is today - 4, the screen says four days are waiting, and closing it offers today - 3 next",module,a_backlog_is_worked_oldest_first,approved
CD-S1-08,A cutoff change onto a closed day,a Property whose last close is D and whose business date is D + 1,its cutoff is changed so that its business date becomes D,"refused with RZ001, a business day is closed: today cannot move back onto a closed day",trigger,a_cutoff_cannot_move_today_back_onto_a_closed_day,approved
CD-S1-09,A time zone change onto a closed day,a Property whose last close is D and whose business date is D + 1,its time zone is changed so that its business date becomes D,refused with RZ001 like CD-S1-08,trigger,a_time_zone_cannot_move_today_back_onto_a_closed_day,approved
CD-S1-10,A cutoff change that keeps today after the last close,a Property whose last close is D and whose business date is D + 1,its cutoff is changed and its business date stays D + 1,allowed,trigger,a_cutoff_change_that_keeps_today_after_the_last_close_is_allowed,approved
CD-S1-11,A late arrival after their day closed,"a Guest booked for D, D closed with them left open, and their booking still running",they arrive after the cutoff and are checked in,"the check-in succeeds and is dated today; the close keeps what it recorded",module,a_late_arrival_checks_in_after_their_day_closed,approved
CD-S1-12,Withdrawing a check-in on a closed day,a Stay that began on D and D is closed,a Staff Member withdraws the check-in,"refused with RZ001, a business day is closed, and the desk is told so: withdrawing it would put an unarrived booking back into a day that is closed",trigger,a_check_in_on_a_closed_day_cannot_be_withdrawn,approved
CD-S1-13,Withdrawing a check-in on an open day,a Stay that began today,a Staff Member withdraws the check-in,it succeeds as before: only a closed day is protected,trigger,a_check_in_on_an_open_day_can_still_be_withdrawn,approved
