id,situation,given,when,then,enforced_by,test_name,status
CF-S1-01,Rename a Property,a Staff Member holding configuration.manage with reach to the Property,they save a new name,"the name changes, the rail and the Property switcher show it on the next read",module,a_property_is_renamed,approved
CF-S1-02,A name that says nothing,any Staff Member who may configure,"they save a name that is empty, one character, only spaces, or longer than 120 characters",refused by the existing check constraint (two to 120 trimmed characters); the form says what a name must be and keeps what they typed,database_constraint,a_property_name_is_two_to_120_trimmed_characters,approved
CF-S1-03,Set the currency before trading,a Property no Folio has been opened in,they save EUR in place of TRY,the currency changes and the next Folio opened copies EUR,trigger,the_currency_changes_before_the_first_folio,approved
CF-S1-04,The currency after trading,a Property with at least one Folio open or closed,they save a different currency,"refused by a trigger that counts Folios as a security definer, so a Staff Member who cannot read Folios is refused too; the form shows the currency locked with the reason",trigger,the_currency_is_fixed_by_the_first_folio,approved
CF-S1-05,A currency that is not one,any Staff Member who may configure,they save a code that is not three capital letters,refused by a check constraint,database_constraint,a_currency_is_three_capital_letters,approved
CF-S1-06,Set the timezone,a Property in Europe/Istanbul,they save Asia/Dubai,the timezone changes and app.property_today() answers in Dubai's clock from the next statement,module,a_property_timezone_is_changed,approved
CF-S1-07,A timezone Postgres does not know,any Staff Member who may configure,they save Mars/Olympus,"refused by the existing check constraint app.is_valid_timezone(), never by a cast error inside a later date query",database_constraint,an_unknown_timezone_is_refused,approved
CF-S1-08,Set the cutoff,a Property with a 04:00 cutoff,they save 06:00,the cutoff changes; between 04:00 and 06:00 the Property is still working the day before,module,a_business_day_cutoff_is_changed,approved
CF-S1-09,A cutoff outside the window,any Staff Member who may configure,they save 02:00 or 13:00,"refused by the existing check constraint (ADR 0021), because a cutoff before 03:00 can be crossed twice on a clock change",database_constraint,a_cutoff_outside_three_to_twelve_is_refused,approved
CF-S1-10,Preview the business date,a form with a changed timezone or cutoff,it is read before saving,"it states the business date now and the one the change would make, computed by the same rule as app.business_date(); when they differ it says so in words",ui_only,the_form_previews_the_business_date_a_change_makes,approved
CF-S1-11,Only these columns,ranza_app holding the update grant on properties,an update names organization_id or status,refused by the column grant: this feature changes four settings and nothing about who owns the Property or whether it trades,policy,only_the_four_settings_are_granted,approved
CF-S1-12,Who may configure,a Staff Member without configuration.manage,they save any Property setting,refused by the update policy,policy,configuring_a_property_needs_configuration_manage,approved
