id,situation,given,when,then,enforced_by,test_name,status
TD-S1-01,Focus follows permissions,"a Staff Member whose role, shipped or composed by the Organization, holds front_desk.check_in or front_desk.check_out",they open Today,"the front-desk focus leads: arrivals and departures first; the role's name plays no part, so a custom role gets the same screen as the shipped one",module,focus_follows_the_permissions_held_not_the_role_name,approved
TD-S1-02,Mixed permissions,a role holding housekeeping.update_status and finance.manage_folio but no front-desk permission,they open Today,"housekeeping leads; any balance they may see reaches attention, and the money figures stay the finance focus's own, because the shipped Front desk role holds finance.manage_folio and a literal union would put the Folio card on every front desk. Precedence is manager, front desk, housekeeping, finance",module,a_role_with_mixed_permissions_leads_by_precedence_and_keeps_its_attention,approved
TD-S1-03,No money without the permission,"a Staff Member without finance.manage_folio, such as the shipped Housekeeping role",the summary is read for them,"it carries no balance, no amount and no 'leaves owing' item: the server leaves them out, so nothing is hidden in the page that devtools could show",module,the_summary_carries_no_balance_without_finance_manage_folio,approved
TD-S1-04,A module the Property lacks,"a Property without the housekeeping capability, or without billing",Today is opened there,"the cards for that module are absent, not zero and not greyed out; the rest of the page is unchanged",module,a_card_whose_capability_the_property_lacks_is_absent,approved
TD-S1-05,A Property out of reach,"a Property in another Organization, or one the Staff Member is not assigned to",its id is sent to the summary route,the answer is the same empty summary a nonexistent Property gets; nothing distinguishes the two,policy,a_property_out_of_reach_summarises_nothing,approved
TD-S1-06,A malformed id,a property parameter that is not a uuid,the summary route is called,"it answers an empty summary rather than a 500, as the arrivals route does",module,a_malformed_property_id_is_an_empty_answer,approved
TD-S1-07,No session,a request with no session or an ended one,the summary route is called,"it answers 401 with no body, never a redirect a polling screen would parse as data",module,the_summary_route_refuses_without_a_session,approved
TD-S1-08,An unmatched ?property=,a ?property= naming no Property the viewer has Today at,Today is opened,"it redirects to plain /today, as it already does, rather than showing the first Property's day under a switcher naming none",module,today.spec.ts: a Property named in the URL that Today does not reach goes back to Today with none,approved
TD-S1-09,After midnight,a Property whose business date cutoff (04:00 by default) has not yet passed,Today is opened at 01:20,"every figure is for the working day, which is still yesterday; the heading names the working day and says the clock has moved on (ADR 0021)",module,the_day_is_the_property_business_date,approved
TD-S1-10,Arrivals figure,"Reservations starting on the business date, some checked in, some confirmed, some cancelled or no-show",the summary is read,'checked in of expected' counts checked-in and still-to-come; cancelled and no-show are in neither number,module,arrivals_count_checked_in_of_expected,approved
TD-S1-11,A withdrawn check-in,"a check-in withdrawn with a reason (ADR 0022), so its Reservation is confirmed again",the summary is read,"the Guest counts as still to arrive, not as checked in",module,a_withdrawn_check_in_counts_as_an_arrival_again,approved
TD-S1-12,Departures figure,"Stays due to leave on the business date, some departed, one due yesterday and still in house",the summary is read,"'out of due' counts today's due Stays still here and every Stay checked out today — a check-out records the day it happened, so early leavers and formerly overdue Guests count as gone today; those still here past their date are counted separately as overdue and appear in attention",module,departures_count_out_of_due_and_overdue_apart,approved
TD-S1-13,Arrival into a room not ready,an arrival still to come whose room housekeeping has not made ready,the summary is read,"it is an attention item naming the room, and the Guest for a viewer who works with Guests, opening Arrivals; for a viewer whose work is the room it opens the housekeeping board instead. Opening at the booking itself is slice 2",module,an_arrival_into_a_room_not_ready_needs_attention,approved
TD-S1-14,Overdue departure,a Stay in house past its planned departure,the summary is read,"it is an attention item naming the room, the Guest and the day they were due, opening Departures",module,an_overdue_departure_needs_attention,approved
TD-S1-15,Leaving with a balance,"a Stay due out today or overdue whose Folio balance is above zero, and a viewer holding finance.manage_folio",the summary is read,"a Guest due out today with a balance is an attention item carrying the amount in the Property's currency, opening that Folio; one who is also overdue is the single overdue item carrying the amount and opens Departures (TD-S1-14). The word is balance, never unpaid, because payments are not recorded",module,a_departure_with_a_balance_needs_attention_for_finance_holders,approved
TD-S1-16,An arrival that cannot be checked in,"an arrival whose check-in has a blocker, such as a bed still occupied",the summary is read,"it is an attention item stating the blocker, opening Arrivals",module,an_arrival_that_cannot_be_checked_in_needs_attention,approved
TD-S1-17,Out of service,"a room, or a single bed in a room that is otherwise let, out of service; a blocked unit is not one",the summary is read by a viewer with the housekeeping or front-desk focus,"it is an attention item naming the room, or the bed and its room, opening the housekeeping board, or Rooms where there is none; a blocked unit is a decision with a reason and is not listed. Read from the unit map, so it needs the front desk capability; a Property with housekeeping and no front desk lists none",module,an_out_of_service_unit_needs_attention,approved
TD-S1-18,Attention order and cap,more attention items than fit one row,Today renders,"items are ordered not-ready arrival, blocked arrival, overdue, balance, out of service; the first four show and the rest are one 'N more' item",ui_only,attention_items_are_ordered_and_capped,approved
TD-S1-19,Nothing needs attention,no item of any kind,Today renders,"one calm line says so; the row does not disappear, so its absence is never mistaken for a failure",ui_only,nothing_needs_attention_is_said_not_hidden,approved
TD-S1-20,Occupancy,"sellable units, Stays in house, arrivals still to come and departures still due",the summary is read,occupancy is in-house over sellable; 'expected tonight' adds arrivals to come and removes departures still due; with no sellable unit neither is a percentage and the tile says there are no units to let,module,occupancy_and_expected_tonight_are_derived_and_never_divide_by_zero,approved
TD-S1-21,Clean first,"dirty rooms, some with an arrival today, some whose Guest leaves today, some neither",the housekeeping focus renders,"rooms with an arrival today come first, then clean rooms awaiting inspection with an arrival, then rooms still occupied by a Guest leaving today, then the rest by how long they have been dirty",module,clean_first_orders_rooms_by_who_needs_them,approved
TD-S1-22,Every figure is a way in,"any tile, attention item or row",it is followed,"it lands on the list that explains it, carrying ?property= so the Property does not change, as a client navigation like the rail's; filtered to the figure only where that list has a filter (Folio by ?folio=) — the arrivals, departures and housekeeping lists have none yet",ui_only,every_way_in_carries_the_property,approved
TD-S1-23,An empty day,a Property with no arrivals and no departures today,Today renders,the figures read zero where they always are; the movements card is an empty state that says so and offers Reservations,ui_only,an_empty_day_reads_zero_and_offers_a_next_step,approved
TD-S1-24,A section that failed,one module's read fails while the others answer,the summary is read,that section is marked unavailable and the failure is logged on the server; the others are unaffected and the card offers a retry,module,one_section_failing_leaves_the_others_standing,approved
TD-S1-25,A refresh that failed,a later refresh of the summary fails,the page is open,"the last numbers stay, and the freshness line says they are from their time rather than now",ui_only,a_failed_refresh_keeps_the_last_numbers_and_says_their_time,approved
TD-S1-26,Someone else's action,another Staff Member checks a Guest in at another desk,this page is open,"the figures follow within 60 seconds, and at once on focus or after this viewer's own action; the dashboard only reads, so nothing conflicts",ui_only,the_summary_refreshes_on_an_interval_and_on_focus,approved
TD-S1-27,Every locale,"Turkish, English or Arabic",Today renders,"all copy is in that language, numbers, dates and money are formatted by it, and Arabic mirrors by logical utilities alone",ui_only,today_renders_in_every_locale,approved
TD-S1-28,A phone,a viewport below md,Today renders,"attention comes first, then the focus's list, then the figures two across; nothing scrolls sideways",ui_only,today.spec.ts: on a phone Today leads with the task and never scrolls sideways,approved
TD-S1-29,A member of two Organizations,a Staff Member with memberships in two Organizations,Today is opened at a Property of one,every figure and permission is that Organization's; nothing from the other appears,policy,a_summary_is_bounded_to_the_property_organization,approved
TD-S1-30,Nothing to show,a Staff Member with Today at a Property but no module whose cards they may see,Today renders,"the working day and clock show, and one line says there is nothing here for their role yet, rather than an empty grid",ui_only,today_with_no_cards_says_so,approved
TD-S1-31,The greeting,a Staff Member,Today renders,"it greets them by display name, falling back to the part of their email before the @, never the full address",ui_only,the_greeting_uses_the_display_name,approved
TD-S2-01,Check in from Today,an arrival row and a viewer holding front_desk.check_in,they check the Guest in from the row,"it is the Arrivals dialog and command, unchanged, including the not-ready warning; the figures refresh at once",module,check_in_from_today_is_the_arrivals_command,approved
TD-S2-02,Check out from Today,a departure row and a viewer holding front_desk.check_out,they check the Guest out from the row,"it is the Departures dialog and command, unchanged, including the balance review and reason",module,check_out_from_today_is_the_departures_command,approved
TD-S2-03,Mark from Today,a clean-first row and a viewer holding housekeeping.update_status,they mark the room clean or inspected,"it is the board's command, unchanged; a room with a Guest still in it offers no action and says why",module,mark_from_today_is_the_board_command,approved
TD-S2-04,No action without the permission,a row and a viewer without the command's permission,Today renders,"the row offers no action, only the way in; the command would refuse anyway",policy,no_action_is_offered_without_its_permission,approved
TD-S2-05,Open at the booking,an attention item or a row naming one booking or Stay,it is followed,"deferred: the list opens at the Property, not at the booking or Stay, until the lists take an id to open at; none does yet",ui_only,,deferred
TD-S3-01,Recent activity,a viewer holding audit.read,Today renders with the manager focus,"the five newest audit records they may read appear, each opening that record; without audit.read the card is absent",policy,recent_activity_follows_audit_read,approved
TD-S3-02,Charges posted today,a viewer holding finance.manage_folio,Today renders,charges less reversals posted on the business date appear as one figure opening Finance,module,charges_today_are_charges_less_reversals_on_the_business_date,approved
TD-S3-03,Several Properties,a viewer who reaches more than one Property,Today renders,"a strip names each with its occupancy and attention count; choosing one is a full load, like the switcher (ADR 0019); with one Property the strip is absent",ui_only,the_organization_strip_shows_only_with_several_properties,approved
TD-S3-04,Booked occupancy ahead,Reservations and Stays over the next 14 days,Today renders with the manager focus,"a line of booked occupancy per day, with a visually hidden table of the same values; it is bookings, not a forecast model",module,booked_occupancy_counts_reservations_and_stays_per_night,approved
TD-DEF-01,Guest and Resident requests,blueprint 18.4 lists unresolved requests,Today is opened,deferred: no requests module exists; it adds its card when it does,module,,deferred
TD-DEF-02,Maintenance blockers,blueprint 18.4 lists maintenance blockers,Today is opened,superseded by TD-S4-01 to TD-S4-06,module,,deferred
TD-DEF-03,Shift handover and day close,blueprint 18.4 lists shift handover notes,Today is opened,deferred: no handover notes exist; closing the day (#72) closes a business date and records no notes,module,,deferred
TD-DEF-04,"Inventory, approvals, integrations",blueprint 18.4 lists them,Today is opened,deferred: none of the modules exists,module,,deferred
TD-DEF-05,Revenue,a revenue snapshot,Today is opened,"deferred: no rates exist, so revenue would be invented; S3's charges posted today is the honest figure until then",module,,deferred
TD-DEF-06,A customisable layout,blueprint 20.7 item 10,Today is opened,deferred: positions are fixed per focus for muscle memory until saved views exist,ui_only,,deferred
TD-DEF-07,Same-day late check-out,a Guest still in house after the Property's check-out time,Today is opened,deferred: no Property has a check-out time; overdue means an earlier day until one does,module,,deferred
TD-DEF-08,Maintenance only,"a role holding only maintenance permissions and none of front desk, housekeeping, finance or manager",Today is opened,"deferred: such a role leads nowhere (TD-S1-30), so nothing of maintenance is read for it; a maintenance focus is designed when a shipped role needs one",module,,deferred
TD-DEF-09,Open at the request,an attention item or figure naming one request,it is pressed,deferred: the maintenance board has no id to open at; it opens the board at the Property until it does,ui_only,,deferred
TD-S4-01,Urgent repair open,"a maintenance request of priority urgent, not done or cancelled, at the Property, and a viewer holding maintenance.report or maintenance.manage",Today is read,"it is an attention item naming its number and title and the room or equipment it concerns, opening the maintenance board; a viewer without either permission is not shown it",module,an_open_urgent_request_needs_attention,proposed
TD-S4-02,Out of order past its return,a room held out of order by a request whose expected return date is before the business date,Today is read,"it is an attention item saying the room was due back on that date, opening the maintenance board, and it replaces the plain out-of-service item for that room: one item per room, the earliest-due hold when several requests hold it; an open urgent request holding the room absorbs its hold items and shows its own due-back date; due back on the business date is not yet past",module,a_hold_past_its_return_needs_attention_once,proposed
