id,situation,given,when,then,enforced_by,test_name,status
RG-S1-01,"The Guest search, for a Staff Member of two Organizations","a Staff Member belongs to two Organizations, so guests_read_own_organization admits the Guests of both",they search for a Guest while working in one of them,"deferred: there is no Guest search on main. The decision recorded for it (AGENTS.md 'Testing security claims', PR #43) is that the search filters on organization_id AND runs under guests_read_own_organization; the policy alone admits both Organizations and only the filter picks one, so that divergence is the assertion. The search and its test live on the unmerged feat/guest-profile line of work (PR #43, #45). On main the only search is the client-side filter of the Reservations list (guest name, Unit, room, reference) over one Property's rows.",module,,deferred
RG-S1-02,Taking a booking,"a Staff Member holding front_desk.book at a Property with the front desk capability, a sellable Unit in service, and at least one night from the Property's today",they take a booking,"the Guest is identified or recorded, the Reservation is written confirmed (not requested, because a front desk taking a booking is allocating the Unit — ADR 0024), and reservation.created is recorded in the audit log inside the same transaction with the Guest's id (ADR 0012: the audit record is inside a multi-write command)",module,"front-office.test.ts: records the Guest and the Reservation, and shows them on the list",approved
RG-S1-03,An enquiry is not an allocation,a requested Reservation over nights another Reservation on the same Unit also covers,it is written,"accepted: reservations_no_double_booking holds confirmed Reservations only, and refusing a second enquiry would be an availability policy nobody has specified (ADR 0024). Nothing in the product writes requested yet (RG-DEF-03).",database_constraint,guests_and_reservation_creation.test.sql: a requested Reservation holds nothing,approved
RG-S1-04,Double booking,a confirmed Reservation holds a Unit for some nights,a second confirmed Reservation is taken over any of those nights,"refused by the exclusion constraint (23P01), which the module reports as UnitUnavailableError and the form as 'That Unit is already booked for those nights'. Availability is a constraint, never a query (ADR 0024, ADR 0012).",database_constraint,guests_and_reservation_creation.test.sql: a second confirmed Reservation cannot overlap on one Unit,approved
RG-S1-05,CONCURRENCY — two clerks book one Unit at once,"two connections take a booking for the same Unit and overlapping nights at the same moment, for two different Guests",both commit,"exactly one Reservation exists; the loser fails on the constraint rather than on an application check, and the Guest the loser described is not on file because the whole booking is one transaction (ADR 0024, ADR 0012)",database_constraint,"front-office.test.ts: produces exactly one Reservation, and the loser fails on the constraint",approved
RG-S1-06,Arrival on the departure day,a confirmed Reservation ends on the 4th,another is taken on the same Unit starting on the 4th,"accepted: nights are half-open, daterange(starts_on, ends_on, '[)'), the same shape as stays_no_double_booking (ADR 0024)",database_constraint,guests_and_reservation_creation.test.sql: somebody may arrive on the day the last Guest leaves,approved
RG-S1-07,Zero nights,"a booking whose departure is the same day as its arrival, or earlier",it is taken,"refused: ReservationPeriodError from the module, and reservations_period_check (ends_on > starts_on, 23514) for every role, because an empty daterange overlaps nothing and would hold no Unit (ADR 0024)",database_constraint,guests_and_reservation_creation.test.sql: a Reservation covers at least one night,approved
RG-S1-08,Arrival in the past,"an arrival date before the Property's own today (app.property_today, not the server's clock)",a booking is taken,"refused with ReservationPeriodError 'a Reservation cannot start before today'. The code and a test do this, but no ADR or PR states it as a decision, and nothing in the database refuses it — a caller outside the module can write one.",module,front-office.test.ts: refuses dates that are not a period a Reservation can have,proposed
RG-S1-09,A date that does not exist,"an arrival of 2027-02-31, which matches the pattern and a lenient parser reads as 3 March",a booking is taken,"refused with ReservationPeriodError before any transaction opens; the form reports the period as invalid. Code and test only, no stated decision.",module,front-office.test.ts: refuses dates that are not a period a Reservation can have,proposed
RG-S1-10,Booking in the small hours,"01:30 at a Property whose business-day cutoff is 04:00, so its today is still yesterday's date (ADR 0021)",a booking is taken for yesterday's calendar date,"accepted: the past-date check compares with app.property_today, and ADR 0021 says every date comparison became a business-date comparison. Follows from the code; no test books across the cutoff.",module,,proposed
RG-S1-11,An open-ended booking,no departure date is given,"a booking is taken, for either stay type",accepted with ends_on null; it holds the Unit from its arrival onwards (the constraint's daterange is unbounded). Nothing ties an open-ended booking to the resident stay type — a short-term Guest can be booked with no end. The sources neither allow nor forbid that.,database_constraint,front-office.test.ts: books the same person again rather than opening a second record,proposed
RG-S1-12,A checked-in Reservation leaves the constraint,a confirmed Reservation is checked in,another confirmed booking is taken over its nights,"the Reservation constraint no longer counts it — its Stay holds the Unit instead, which is what lets a room be re-let the morning its Guest leaves; the in-house Stay then refuses the booking through the ADR 0033 trigger (FD-S2-03). Stated by PR #41, commit 949b667 and ADR 0033. SOURCE CONFLICT: ADR 0024's Decision section shows the constraint as status in ('confirmed', 'checked_in') and says checked_in is an allocation, while the migration, the PR, ADR 0033 and this test say confirmed alone. ADR 0024 now carries an Amended: line saying so: the constraint shipped as confirmed alone in 949b667, the commit that implemented it.",database_constraint,guests_and_reservation_creation.test.sql: the double-booking constraint is partial on confirmed alone,approved
RG-S1-14,A returning Guest,"the Organization already has a Guest at nezihe@example.test, recorded as 'Nezihe Muhiddin'",somebody books 'N. Muhiddin' at the same address,"the existing Guest is reused (guestCreated false), both Reservations name them, and the profile keeps its own name: a second booking is not an edit (ADR 0024). The insert is on conflict ... do update set updated_at = updated_at, a no-op that makes RETURNING give back the existing row.",module,front-office.test.ts: books the same person again rather than opening a second record,approved
RG-S1-15,Two spellings of one address,a Guest is on file at ada@example.test,a booking gives ' ADA@Example.test ',"the address is trimmed and lowercased before the insert and guests_email_is_normalized refuses anything stored otherwise, so the unique index matches the existing Guest. ADR 0024 says 'exact email'; that case and whitespace are folded first is stated only in the migration's comment.",database_constraint,"guests_and_reservation_creation.test.sql: an address is stored normalized, so two spellings cannot become two people",proposed
RG-S1-16,No email,"two people are booked, neither with an email",the second booking is taken,two Guests: nothing distinguishes them and guessing would be the automatic merge blueprint 18.7 forbids. The unique index is partial on email being present (ADR 0024). The same applies to every Guest backfilled from reservations.guest_name.,database_constraint,guests_and_reservation_creation.test.sql: a second Guest with no email is a second person,approved
RG-S1-17,The Guest's Stay summary checks its caller,app.guest_stay_summary() is a security definer that checks the caller's Organization and the capability,somebody deletes the Organization clause,"deferred: the function is not on main. The decision recorded for it (AGENTS.md 'Testing security claims'): the capability is asked about the Guest's Organization, and reaching a Property there requires membership there, so the capability implies the Organization check and deleting that clause failed nothing. The two never diverge, so the clause is untested and stays only because a future change to the shared helper would widen the function silently. It lives on the unmerged feat/guest-profile line of work (PR #43).",database_function,,deferred
RG-S1-18,"A similar name, or a shared telephone",a Guest is on file as 'Ada Lovelace' with +90 212 000 00 00,"a booking gives the same name or the same telephone and no email, or another email","a second Guest. Matching is an exact email within the Organization and nothing else; a name, a telephone or a date of birth belongs to staff duplicate review (ADR 0024, blueprint 18.7). Stated, but no test books a name or telephone collision and asserts two records.",module,,proposed
RG-S1-19,"One address, two Organizations",Organization B has a Guest at grace@example.test,Organization A books somebody at grace@example.test,"a separate Guest in Organization A. The index is (organization_id, email) and the Organization comes from the Unit's row, never from the caller. ADR 0024 says 'within the Organization'; no test books one address in two Organizations.",database_constraint,,proposed
RG-S1-20,CONCURRENCY — one returning Guest booked twice at once,two clerks book the same new address for different Units at the same moment,both commit,"one Guest and two Reservations: on conflict leaves no window between a lookup and an insert, where a select-then-insert would let one clerk hit the unique index. Stated in identifyGuestWithin's comment; not tested.",database_constraint,,proposed
RG-S1-21,The Guest grants are asserted column by column,"public.guests' INSERT grant was table-level (20260916002000), so a new column becomes insertable",the suites run,"owned by IG-15, whose exact-set assertion goes red on the count of insertable columns. This id is kept because insert-grants/design.md:18 cites it: on feat/guest-profile it asserted the INSERT set and caught status and merged_into_id becoming insertable",database_constraint,,out_of_scope
RG-S1-22,A refused booking leaves no Guest,"a booking is refused — the Unit is out of reach, or the constraint refuses it",the command ends,"no Guest is left behind: the Unit is read before the Guest is recorded, and the Guest, the Reservation, the event and the audit record are one transaction (ADR 0012)",module,front-office.test.ts: refuses a Unit in a Property the viewer cannot reach,approved
