id,situation,given,when,then,enforced_by,test_name,status
FO-S1-01,A Folio opens with the Stay,a Property that does billing (billing_folios Entitlement and finance enabled),a Staff Member checks a Guest in,"a Folio opens in the check-in's own transaction, open, with no lines and a balance of zero, in the Property's currency read by openFolioWithin from the Property row rather than from the caller (ADR 0015, ADR 0020)",module,folios.test.ts: gives a checked-in Guest a Folio in the Property's own currency; gives one in dirhams at a Property that trades in dirhams,approved
FO-S1-02,A Property that does not bill,the Organization lacks the billing_folios Entitlement or the Property has not enabled finance,a Staff Member checks a Guest in,"the check-in succeeds with a Stay and no Folio: openFolioWithin returns null rather than raising, because an unbought billing module must not break the front desk (ADR 0015 Consequences)",module,folios.test.ts: checks a Guest in with no Folio where the Property does not do billing,approved
FO-S1-03,A second Folio for one Stay,a Stay already has a Folio,anybody opens another on it,"refused by the unique index on (stay_id, property_id, organization_id): one Folio per Stay, because split folios are blueprint 5.9 and not built (PR #30)",database_constraint,folios.test.sql: a Stay has at most one Folio: split folios are not built,approved
FO-S1-04,A currency that is not a code,a Folio or a Property,its currency is written as anything but three upper-case letters,"refused by folios_currency_check and properties_currency_check (ISO 4217 shape; PR #30, migration 20260916001200_folios)",database_constraint,"folios.test.sql: a currency is three upper-case letters, not whatever was typed",approved
FO-S1-05,A Folio opened in a currency its Property does not trade in,the runtime role holds insert on folios.currency (IG-04) and no constraint compares it with properties.currency,a statement other than openFolioWithin opens a Folio naming another valid code,"the database accepts it; only openFolioWithin's statement, which copies properties.currency, keeps the two equal. ADR 0015 says a caller must not be able to name a currency, and the module is the only thing that makes that true",module,,proposed
FO-S1-06,The Property changes its currency,a Property with open and closed Folios,its currency is changed,"no existing Folio is restated: each keeps the currency it copied when it opened, and only Folios opened afterwards use the new one. Lines carry no currency column at all, so a sum can never mix two (ADR 0015). No test changes a Property's currency or asserts the column's absence",module,,proposed
FO-S2-01,An amount that is not a whole number of minor units,a Staff Member holding finance.post_charge on an open Folio,"they post 10.5 minor units, or more than Number.MAX_SAFE_INTEGER","refused with FolioAmountError before anything is written; amounts are signed integer minor units in a bigint column, never a float (ADR 0015)",module,folios.test.ts: refuses an amount that is not one,approved
FO-S2-02,A zero line,an open Folio,a line of 0 is posted,"refused by folio_lines_amount_check (a line that changes no balance is not a posting; migration 20260916001200_folios, PR #30) and by the module first",database_constraint,folios.test.sql: a line of zero is not a posting,approved
FO-S2-03,A negative charge,an open Folio,a charge with a negative amount is posted,"refused by folio_lines_type_check: a charge is positive and names no line, a reversal is negative and names one (ADR 0015); taking money off is a reversal",database_constraint,"folios.test.sql: a charge is positive: making one negative is a reversal, and must say so",approved
FO-S2-04,A charge with no description,an open Folio,a charge is posted with a blank description or one over 200 characters,"refused: folio_lines_description_check requires 1-200 characters after trimming, and the module refuses first with FolioAmountError naming the field (PR #30). Only a blank description is tested, through the module; neither the 200-character limit nor the constraint is",database_constraint,folios.test.ts: refuses an amount that is not one,proposed
FO-S2-05,An amount typed on the Finance screen,an open Folio in a currency with n minor digits,"a Staff Member types 12,50 or 12.5 or 12.505","a comma or a point is the decimal separator; more fraction digits than the currency has is invalid; the exponent comes from Intl for the currency, so JPY has none and KWD three. Exercised by hand in PR #30; toMinorUnits has no automated test",module,,proposed
FO-S2-06,Only a charge or a reversal,an open Folio,"a line of any other type — payment, credit, deposit, refund — is posted","refused by folio_lines_type_check; there is no line type waiting for a workflow that is not built (ADR 0015, PR #30)",database_constraint,folios.test.sql: there is no payment line: recording money is a workflow this slice does not build,approved
FO-S3-01,The balance is the sum of the lines,a Folio with several lines,it is read,"the balance is sum(amount_minor) computed in the statement that selects the lines: not a column, not a view, not a function (ADR 0015); an empty Folio's balance is zero",module,"folios.test.ts: adds up several charges, and is stored nowhere; folios.test.sql: the balance is the sum of the lines, and is stored nowhere",approved
FO-S3-02,A charge lands while the detail is being read,a Folio open on the Finance screen,a charge commits between the summary and the lines,"folioDetail reads both in one transaction, so the total always matches the rows printed under it (module and README, PR #30); no test interleaves a charge",module,,proposed
FO-S3-03,A reader who can see only some lines,a future narrower read policy on folio_lines,the balance is shown,"the sum covers exactly the rows the policy let through, because it is aggregated in the same statement; a security definer total is rejected by ADR 0015. Today the read is reach-based, so no reader sees part of a Folio and nothing tests this",policy,,proposed
FO-S4-01,Correcting a charge,an open Folio carrying a charge,a Staff Member reverses it with a reason,"a new reversal line of -original.amount_minor, computed by the database, references the charge; the charge stays exactly as posted and is shown as reversed; the balance follows (ADR 0015)",trigger,"folios.test.ts: follows a reversal down, keeping both lines; folios.test.sql: a charge is corrected by reversing it",approved
FO-S4-02,A partial reversal,a charge of 125.50,a reversal of 0.50 naming it is inserted,"refused by folio_line_is_postable(): a reversal cancels its line exactly; a partial correction is an adjustment, which is not built (ADR 0015)",trigger,"folios.test.sql: a reversal cancels its line exactly: a partial one is an adjustment, which is not built",approved
FO-S4-03,A reversal that names nothing,an open Folio,a reversal with no reverses_line_id is inserted,refused by folio_lines_type_check (ADR 0015: a reversal references the line it corrects),database_constraint,folios.test.sql: a reversal must name the line it corrects,approved
FO-S4-04,Reversing a line twice,a charge already reversed,it is reversed again,"refused by the unique index on (reverses_line_id, folio_id); the module reports FolioWriteError and the balance is unchanged (ADR 0015: a line is reversible once)",database_constraint,folios.test.ts: refuses to reverse the same line twice; folios.test.sql: a line is reversed at most once,approved
FO-S4-05,Reversing a reversal,a reversal line,somebody reverses it,"not possible: reverseLine only selects charges, and a positive line naming another fails folio_lines_type_check (migration comment, PR #30). No test attempts it",database_constraint,,proposed
FO-S4-06,A reversal pointing at another Folio's line,"a line on another Folio, in this Organization or another",a reversal on this Folio names it,"refused: the composite foreign key (reverses_line_id, folio_id) makes a line on another Folio unrepresentable, and another Organization's line is not visible to cancel (PR #30)",database_constraint,"folios.test.sql: a reversal cannot name another Organization's line: it is not there to be cancelled; nor a line on another Folio, even one it can see",approved
FO-S4-07,A reversal without a real reason,a charge on an open Folio,"it is reversed with an empty, two-character, or over-200-character reason","refused with FolioAmountError before anything is written: the reason is both the reversal's description (max 200) and the audit record's reason (min 3), and taking money off must be explained (blueprint 4.4, 7.4)",module,folios.test.ts: refuses a reason neither the line nor the record would accept,approved
FO-S4-08,A reversal whose audit record fails,a charge on an open Folio,the reversal line is written and the audit record then fails,both roll back: the charge is not reversed and no record of a reversal exists (PR #30),module,folios.test.ts: leaves nothing half-done when the second write fails,approved
FO-S4-09,Reversing on a closed Folio,a closed Folio with a charge,somebody reverses the charge,"refused by the same trigger that refuses any line on a closed Folio, and the screen offers no reverse action there. Only a charge on a closed Folio is tested; a reversal there is not",trigger,,proposed
FO-S4-10,Who may reverse,a Staff Member without finance.post_charge,they reverse a line,"refused by folio_lines_insert_finance, which asks finance.post_charge for every line: there is no separate reversal permission (migration 20260916002300, PR #45). No test reverses without the permission",policy,,proposed
FO-S5-01,Finance closes a Folio,an open Folio with a balance and a Staff Member holding finance.manage_folio,they close it on the Finance screen,"it closes with closed_at set, its balance survives (closing is not settling), and folio.closed is recorded with the balance it was closed on; no settled-first rule exists because closure rules are not built",module,folios.test.ts: stops anything more being posted to it,approved
FO-S5-02,A closed Folio refuses lines,a closed Folio,anybody posts a line — ranza_app or the migration role,"refused by folio_line_is_postable(), a trigger rather than a policy clause so it binds every role (ADR 0015)",trigger,"folios.test.sql: a closed Folio accepts no new lines; nor post to a closed Folio: the trigger binds every role, which a policy does not",approved
FO-S5-03,Closing twice,a closed Folio,somebody closes it again,"refused with FolioWriteError rather than reported as success: only an open Folio matches, and no row returned is read as a refusal (ADR 0015 Consequences)",module,folios.test.ts: refuses a second closure rather than reporting success,approved
FO-S5-04,Closed without a closing date,an open Folio,"its status becomes closed without closed_at, or closed_at is set on an open one",refused by folios_closed_at_check: status = closed exactly when closed_at is set (PR #30),database_constraint,folios.test.sql: a closed Folio without a closing date is not a state this can reach,approved
