id,situation,given,when,then,enforced_by,test_name,status
AL-S1-01,Newest first,records written at different moments for one Organization,a Staff Member opens the log,the records come newest first and the last one written is at the top,module,recent_records_come_newest_first,open
AL-S1-02,Who may open it,"a Staff Member whose role carries audit.read — the shipped Owner and Manager, or a role the Organization composed with it",they open the log,"it opens; a Staff Member without audit.read reads nothing, the destination is absent from their rail, and the page reached by URL says reading it is a permission, who can grant it, and that a Property assignment may be what is missing, never that the Subscription lacks the module (ADR 0031); with the switcher on a Property they cannot read it from while there is one they can, it says to choose that one instead",policy,"audit_read_is_what_opens_the_log; audit_location_reach.test.sql: without audit.read the Organization's records are closed, even at the reader's own Property; audit-log-page.test.tsx: tells somebody without audit.read it is a permission; audit-log-page.test.tsx: sends somebody who may read it elsewhere to the switcher",open
AL-S1-03,Another Organization,records exist for an Organization the Staff Member has no membership in,they ask for that Organization's log,nothing comes back and the answer is the same as for an Organization that does not exist,policy,audit_location_reach.test.sql: an owner of another Organization reads none of these; a_property_out_of_reach_reads_nothing,open
AL-S1-04,A member of two Organizations,the Staff Member holds active memberships in two Organizations that both have records,they open one Organization's log,"only that Organization's records come back; the policy alone would let both through, which is why the read names the Organization itself",module,recent_records_are_bounded_to_the_organization_asked_for,open
AL-S1-05,The permission taken away,a role that carried audit.read no longer does,somebody holding it opens the log,nothing comes back; the permission is asked by the read policy in the same statement as the read,policy,"audit_location_reach.test.sql: taking audit.read out of the role closes the log, in the read policy itself; taking_audit_read_out_of_a_role_closes_the_log",open
AL-S1-06,A correction,a check-in or a Folio line was reversed with a reason,a reader opens the log,"the record names the actor and carries the reason, and a Folio reversal carries the amount, currency and description it took off",module,"a_reversal_is_traceable_to_its_actor_and_reason; folios.test.ts: follows a reversal down, keeping both lines",open
AL-S1-07,A lapsed Subscription,"the Organization's Subscription is cancelled, or no package includes anything about audit",a reader opens the log,it still opens: audit is a baseline right (blueprint 3.6) and no commercial gate stands in front of it,policy,a_lapsed_subscription_does_not_close_the_log,open
AL-S1-08,A Property out of reach,the Property belongs to another Organization or the Staff Member is not assigned to it,they open the log through that Property,nothing comes back and the answer is the same as for a Property that does not exist,module,a_property_out_of_reach_reads_nothing,open
AL-S1-09,An action the screen has no word for,a module writes an action name the workspace catalogue does not know,the record is shown,"the raw action name is shown, never a blank; the label is added in the same commit as the writer",ui_only,an_unknown_action_renders_as_its_own_name,open
AL-S1-10,Who,records by the viewer and by colleagues,the log is shown,"the viewer's own rows say so and a colleague is named by their address; an actor the viewer may not see is shown by the first eight characters of their id, never blank",ui_only,the_actor_is_named_by_their_address; the_viewer_is_named_and_colleagues_by_address,open
AL-S1-11,When,records at Properties in different timezones,the log is shown,"each time is the wall clock of the Property where it happened; a record about the whole Organization uses the opened Property's clock, and the screen says so",module,times_are_each_propertys_own,open
AL-S1-12,A page reaching the module directly,a file outside src/server imports the platform audit module at runtime,the boundaries check runs,the build fails on the funnel rule,module,,open
AL-S1-13,A record written while the page is open,a colleague reverses a charge after the list loaded,the reader looks at the list,it is not there until the page is loaded again; nothing on this screen is live (ADR 0019 is the arrivals poll and is not applied here),module,,open
AL-S1-14,No session,there is no signed-in viewer,the log is asked for,nothing comes back (ADR 0007),module,,open
AL-S1-15,Reading changes nothing,any record,the log is read,no record is changed or removed; the trigger and the revoked grants refuse it whoever asks,trigger,platform_audit.test.sql: the runtime role cannot update a record; the migration role cannot rewrite a record either,open
AL-S1-16,An assigned reader,"a Manager with audit.read, assigned to one Property of several",they open the log,"they read that Property's records and none of the others', and no record about the whole Organization",policy,an_assigned_reader_reads_only_their_properties; organization_wide_records_belong_to_organization_wide_readers,open
AL-S1-17,The whole Organization,"an Owner, whose reach is organization_wide",they open the log,every Property's records and every record about the whole Organization — a role defined or somebody revoked,policy,organization_wide_records_belong_to_organization_wide_readers,open
AL-S1-18,An archived Property,a Property with records has since been archived,an Organization-wide reader opens the log,its records are still there and still named; history outlives the hotel,database_function,an_archived_propertys_history_stays_readable_and_named,open
AL-S1-19,A writer without audit.read,a Front desk member checks a Guest in,the check-in records itself,"the record is written and the writer can read back its own record, and nobody else's",policy,"audit_location_reach.test.sql: but a writer without audit.read still records, and reads back what it wrote; and sees only that: its own record, nobody else's",open
AL-S1-20,A record in the wrong place,a writer names a Property of another Organization as a record's location,the record is written,refused by the insert policy,policy,audit_location_reach.test.sql: a record cannot name another Organization's Property,open
AL-S1-21,A backdated record,a caller supplies occurred_at,the record is written,refused: the runtime role may write eight columns and the time is not one of them,policy,audit_location_reach.test.sql: a record cannot be backdated: occurred_at is not a column the runtime role may write,open
AL-S1-22,Filters,"a reader narrows by action, by one Property, or by a day range",the log is shown,the server applies them over every record the reader may see; the days mean the opened Property's calendar,module,narrows_by_action; narrows_to_one_property; narrows_by_day_in_the_propertys_clock,open
AL-S1-23,Search,"a reader types a Guest's name, a room, a colleague's address or words from a reason, in any case, a dotted İ included",the log is shown,"records about that Guest's Reservations, Stays and Folios, that room, that colleague, or with those words in the reason or in a fact the record carries — a charge's description — as far as the reader may see",module,finds_a_guest_a_room_a_colleague_and_a_reason; a_search_cannot_reach_past_the_readers_reach; a submitted search finds a record by its reason (tests/browser/audit-log.spec.ts),open
AL-S1-24,A short search,a reader types one character,the log is shown,"the search is not run and the screen says why, rather than showing every record as though it matched",ui_only,,open
AL-S1-25,An edited URL,"a filter that is not a uuid, a day that does not exist, or a cursor that is not one",the log is shown,"the filter narrows to nothing or is ignored — a non-uuid, a day that does not exist, year 0, a cursor that is not one or is too large, a NUL in the search — and a bad cursor starts at the top; never an error",module,a_filter_from_an_edited_url_narrows_to_nothing_rather_than_failing,open
AL-S1-26,Older records,more records match than one page holds,the reader pages back,"every record appears exactly once across the pages, the count is the same on each, and records written in the same millisecond are not skipped at a page boundary",module,walks_every_record_once_with_the_same_total_on_every_page,open
AL-S1-27,Legacy records,records written before 20260916004200 carry no location,a reader opens the log,"they read as about the whole Organization: visible to Organization-wide readers and to whoever wrote them, never back-filled, because back-filling means rewriting an append-only table",policy,organization_wide_records_belong_to_organization_wide_readers,open
AL-S1-28,Where each writer records,"a check-in, a withdrawal, a departure, a booking, a charge, a reversal, a closure, a room added, blocked or unblocked, or a Property assigned",the action records itself,"the record carries the Property it happened at, so exactly that Property's readers see it; dropping the location would hide it from them",module,"front-office.test.ts, check-in-reversal.test.ts, folios.test.ts, staff.test.ts, accommodation-audit.test.ts (latestRecord … locationId)",open
AL-S1-29,Before and after,"somebody's role is changed, or a role's permissions are edited",the change records itself,"a role change records what it changed from and to; a permission edit records what was added and what was removed (blueprint 7.4); each role key says whether it was the Organization's own, because an authored role's key is a slug of its name and can equal a shipped one's, and the log reads it that way",module,"staff.test.ts: may demote themselves when they are not the last; ends the sessions of everybody holding a role that changes; staff.test.ts: records which role was meant when an authored key is a shipped one's; audit-screen.test.tsx: an Organization's own role is named as its own, even with a shipped key",open
AL-S1-30,A context that is not an object,a record whose context is a JSON string or array — nothing in the schema forbids one,somebody searches the log,the search runs and that record simply does not match on its context,module,a_record_whose_context_is_not_an_object_does_not_break_search,open
AL-S1-31,A revoked Staff Member,somebody wrote records and their membership was revoked,they read the log,"nothing, not even their own records",policy,audit_location_reach.test.sql: a revoked Staff Member no longer reads even the records they wrote,open
AL-S2-01,One record,any record the reader may read,the Staff Member opens it,"the whole reason and every context fact are shown in the reader's language — money with its currency, rooms, Guests, roles and permissions by name — and a Folio subject links to its Folio; a housekeeping mark says the room's status before and after, and an inspection setting what it was and became, in the Housekeeping screen's words",ui_only,audit-screen.test.tsx: a room's status change says before and after; an inspection setting says what it was and became,open
AL-S2-02,A record by link,"a link to a record, however many records were written since",somebody opens it,"it opens, read by id; a record that does not exist, is in another Organization, or is not the reader's to read gives one answer",module,opens_a_record_by_id_however_old,open
AL-DIFF-01,Reach was Organization-wide,a Staff Member with access_scope assigned_properties and one assignment,they open the log,"before ADR 0031 they read every Property's records; now only their own Property's, and the old test is inverted rather than removed",policy,an_assigned_reader_reads_only_their_properties,resolved
PRE-01,Naming the actor,users_read_self_and_colleagues already lets a Staff Member read a colleague's address (20260916002200),a colleague's record is shown,"blocks: s3. Resolved: the log names the actor by address, read at read time",policy,the_actor_is_named_by_their_address,resolved
AL-DEF-01,Records scoped to a Property,audit.records carried organization_id only,a Property-scoped log is wanted,resolved: location_id (ADR 0031),policy,an_assigned_reader_reads_only_their_properties,resolved
AL-DEF-02,A manager surface,roles are named sets of permissions (ADR 0026),only some roles should open the log,resolved: audit.read,policy,audit_read_is_what_opens_the_log,resolved
AL-DEF-03,Reading past the cap,an Organization has more records than a page,the reader wants the older ones,resolved: keyset pages on (occurred_at; id),module,walks_every_record_once_with_the_same_total_on_every_page,resolved
AL-DEF-04,Export,the log is wanted outside the product,the reader wants a file,out of scope: Organization Data export is blueprint 3.6 and its own feature,module,,out_of_scope
AL-DEF-05,Sign-in events,a sign-in fails or succeeds,the reader looks for it in the log,out of scope: an authentication has no Organization — a failed one has no user either — so it belongs to security logging (blueprint 7.6) and not to an Organization's audit trail,module,,out_of_scope
AL-DEF-06,Invitation accepted,somebody accepts a staff invitation,the reader looks for it,"deferred: acceptance is not an authorization boundary (the membership is active from the invitation, SP-S1-07), and recording it needs the accepting definer to write the record in its own transaction",module,,deferred
AL-DEF-07,Two edits of one role at the same instant,"two administrators change the same person's role, or edit the same role, concurrently",both commands record themselves,"deferred: the before-value is read without a row lock, so the later record's from or removed may describe the state the earlier edit replaced. Locking it first would take the membership lock ahead of the last-administrator trigger that locks every membership, which is the ordering that deadlocks the race tested in staff.test.ts",module,,deferred
