id,situation,given,when,then,enforced_by,test_name,status
HK-S1-01,A check-out makes the room dirty,a clean room with a Guest in house at a Property where housekeeping is available,the Guest is checked out and the worker delivers stay.checked_out,"the room is dirty, stamped with the time of the delivery and no Staff Member",database_function,a_check_out_makes_the_room_dirty,approved
HK-S1-02,A bed's departure,a Guest in a bed under a room,they are checked out,"the room is dirty, not the bed: the room holds the status (ADR 0029)",database_function,a_departure_from_a_bed_dirties_its_room,approved
HK-S1-03,A bed with no room,a Property whose Units are beds with no parent (ADR 0004),a Guest in one is checked out,"that bed is dirty: with no room above it, it holds its own status",database_function,a_bed_with_no_room_holds_its_own_status,approved
HK-S1-04,Delivered twice,a check-out already marked the room dirty,the same event is delivered again,"nothing changes: the delivery row refuses a second run by the dispatcher (proved by tests/integration/outbox.test.ts), and a run that gets past it — the delivery row lost — finds its own mark stamped after the departure and writes nothing",database_function,a_redelivered_check_out_changes_nothing,approved
HK-S1-05,Cleaned before the worker got there,a check-out at 10:00 and the desk marking the room clean at 10:00:01,the worker delivers the event after that,the room stays clean: a status changed after the departure is the later word and is kept,database_function,a_status_changed_after_the_departure_is_kept,approved
HK-S1-06,Marked before the departure,a room marked inspected at 09:00,its Guest checks out at 10:00,the room is dirty: the mark was made before the Guest left and is overwritten,database_function,a_status_changed_before_the_departure_is_overwritten,approved
HK-S1-07,No worker context,a caller with no worker context,they call app.mark_unit_dirty_after_check_out,"refused with 42501, before anything is read",database_function,marking_dirty_without_worker_context_is_refused,approved
HK-S1-08,Another Organization's event,a worker context for Organization A,it names an event belonging to Organization B,refused with 42501,database_function,marking_dirty_for_another_organization_is_refused,approved
HK-S1-09,Housekeeping is not available,a Property whose housekeeping capability is off or whose Subscription has lapsed,a Guest there checks out,"no status is written, so no front desk that never bought housekeeping sees a room turn dirty",database_function,no_status_is_written_where_housekeeping_is_not_available,approved
HK-S1-10,Not a departure,"an event that is not stay.checked_out, or whose Stay is not departed",the function is called with it,it marks nothing and returns false,database_function,an_event_that_is_not_a_departure_marks_nothing,approved
HK-S1-11,The worker's reach,ranza_worker,it tries to read or write housekeeping_unit_status directly,refused: it holds no grant on the table and reaches it only through the one function (ADR 0027),policy,the_worker_holds_no_grant_on_housekeeping_status,approved
HK-S1-12,A status on a bed under a room,a bed with a parent,any role writes a housekeeping row for it,refused with 55000: its room answers for it,trigger,a_bed_under_a_room_cannot_hold_a_status,approved
HK-S1-13,The board,"a Property with rooms, some with rows and some without",a Staff Member reaching it opens Housekeeping,every room and parentless bed comes back once with its status; one with no row reads clean; a room let by the bed shows how many beds it has,module,the_board_lists_every_room_with_its_status,approved
