id,situation,given,when,then,enforced_by,test_name,status
CO-S1-01,Normal check-out on the day,Stay in_house at a reachable Property and the Folio balance is zero,the Staff Member confirms check-out,"Stay becomes departed with ends_on = the Property business date, Reservation becomes checked_out, the Folio is closed, stay.checked_out is published and an audit record is written, all in one transaction",module,check_out_ends_the_stay_and_the_reservation_together,approved
CO-S1-02,Overdue departure,Stay in_house with ends_on earlier than the business date,the Staff Member confirms check-out,check-out succeeds and ends_on becomes the business date rather than the planned one,module,check_out_of_an_overdue_stay_uses_todays_business_date,approved
CO-S1-03,Early departure acknowledged,Stay in_house with ends_on later than the business date,the Staff Member confirms check-out and acknowledges the early departure,"check-out succeeds, ends_on becomes the business date, and the acknowledgement is recorded with who and when",module,early_departure_is_acknowledged_and_recorded,approved
CO-S1-04,Early departure not acknowledged,Stay in_house with ends_on later than the business date,the Staff Member confirms check-out without acknowledging,check-out is refused,module,early_departure_without_acknowledgement_is_refused,approved
CO-S1-05,Open-ended Resident Stay,Stay in_house with ends_on null,the Staff Member confirms check-out,ends_on becomes the business date and the Unit is freed,module,open_ended_stay_gets_an_end_date_at_check_out,approved
CO-S1-06,Stay without a Reservation,Stay in_house with reservation_id null,the Staff Member confirms check-out,only the Stay changes and no Reservation transition is attempted,module,check_out_without_a_reservation_changes_only_the_stay,approved
CO-S1-07,Already checked out,Stay is departed or cancelled,the Staff Member confirms check-out,refused because the Stay is no longer in_house,module,check_out_of_a_stay_that_is_not_in_house_is_refused,approved
CO-S1-08,Another Organization,Stay belongs to another Organization,the Staff Member confirms check-out,no row is visible and the refusal does not reveal that the Stay exists,policy,check_out_cannot_reach_another_organizations_stay,approved
CO-S1-09,Unreachable Property,Stay is at a Property the Staff Member is not assigned to,the Staff Member confirms check-out,refused with the same response as a Stay that does not exist,policy,check_out_cannot_reach_an_unassigned_property,approved
CO-S1-10,No permission,Staff Member can reach the Property but does not hold check_out,they confirm check-out,refused,policy,check_out_without_the_check_out_permission_is_refused,approved
