id,situation,given,when,then,enforced_by,test_name,status
RB-S1-01,The map,a Property with rooms and a room let by the bed and a Staff Member reaching it with the front_desk capability,they open Rooms at that Property,"every Unit at the Property comes back once, a bed under its room, with building, floor, type, capacity, status and the reason it was blocked",module,rooms_lists_every_unit_at_the_property_with_its_beds,proposed
RB-S1-02,A Property out of reach,the same Staff Member and a second Property they are not assigned to,they open Rooms at the second Property,"nothing comes back, indistinguishable from a Property with no Units",policy,rooms_at_a_property_out_of_reach_are_absent,proposed
RB-S1-03,The capability is off,the Property's front_desk capability is disabled or the Organization's Subscription is not active,they open Rooms,"nothing comes back: the read carries all four commercial and reach gates in its own statement, the same way the booking form's Unit list does",module,rooms_are_absent_when_the_capability_is_off,proposed
RB-S1-04,Who is in it,a Unit with an in-house Stay,the map is read,"the Unit is in house, with the Guest's name and the day they leave; the status column is not consulted for this because nothing writes occupied to it",module,an_in_house_stay_makes_a_unit_occupied,proposed
RB-S1-05,Who is coming,an empty Unit with a confirmed Reservation arriving later,the map is read,"the Unit is reserved, with the arrival day of the earliest one; a Reservation checked in or cancelled is not that",module,the_next_confirmed_reservation_makes_a_unit_reserved,proposed
RB-S1-06,A room let by the bed,a room with three beds under it,the map is read,"the room is not sellable itself and carries no state of its own; each bed carries one, and the room's counts are the sum of its beds",module,a_room_with_beds_is_counted_by_its_beds,proposed
RB-S1-07,TIME — tonight is the Property's day,a Property in a timezone where it is already tomorrow,the map is read,"in house and reserved are measured against app.property_today for that Property, not the server's calendar",module,occupancy_is_measured_against_the_property_day,proposed
RB-S1-08,A Resident,a Resident with a current Stay,they sign in to the Workspace,"they reach nothing here: a Resident reaches their own Unit through their own Stay and no policy in this feature widens that (ADR 0009). Already proved by tests/database/resident_access_path.test.sql",policy,resident_access_path,proposed
RB-S1-09,The counts,the map of RB-S1-01,the counts are read,"rooms is the number of top-level Units, sellable is the number of leaves, and in house, free and blocked partition the leaves; a leaf out of service is none of the three",module,the_counts_partition_the_sellable_units,proposed
RB-S2-01,Normal add,an active Organization and a Staff Member holding accommodation.configure at a Property they reach,"they add 4 rooms from 301 on floor 3 in Block A, sleeping 2",four rooms 301 to 304 are written with that building and floor and an audit record naming the actor and the four; all in one transaction,module,adding_rooms_writes_them_all_or_none,proposed
RB-S2-02,Let by the bed,same as RB-S2-01 with let by the bed on,they add 2 rooms sleeping 3,"two rooms and six beds: each room's beds are named A, B and C under it, each sleeps one, and the rooms are no longer sellable whole",module,letting_by_the_bed_writes_one_bed_per_sleeping_place,proposed
RB-S2-03,Without the permission,a Staff Member who reaches the Property but holds no role carrying accommodation.configure,they add a room,refused (42501) before anything is written; the front desk role does not carry this permission,policy,adding_a_unit_without_the_permission_is_refused,proposed
RB-S2-04,Into a Property out of reach,a Staff Member holding the permission in Organization A,they add a room to a Property of Organization B,"refused (42501), and a row naming Organization B with Organization A's Property is unrepresentable because of the composite key",policy,adding_a_unit_out_of_reach_is_refused,proposed
RB-S2-05,Lapsed Subscription,the Organization's Subscription is past due,they add a room,refused (42501) by the commercial gate inside the insert policy,policy,a_lapsed_subscription_adds_no_unit,proposed
RB-S2-06,A name already taken,room 302 exists at the Property,"they add 301 to 304","the whole add is refused and nothing is written; the refusal names 302, which is the one thing a person can change. The partial unique index on (property_id, name) where parent_id is null is what refuses it",database_constraint,a_room_name_already_at_the_property_refuses_the_whole_add,proposed
RB-S2-07,Bed names repeat across rooms,rooms 301 and 302 both let by the bed,they are added,"each has a bed A: a bed's name is unique within its room, not within the Property. Proved by tests/database/unit_hierarchy.test.sql",database_constraint,unit_hierarchy,proposed
RB-S2-08,Too many beds,let by the bed on,they ask for a room sleeping 27,"refused by the module: beds are named by letter and a room holds at most 26. The capacity constraint allows 64 for a room sold whole, which is a different thing",module,a_room_holds_at_most_twenty_six_beds,proposed
RB-S2-09,How many at once,the form,"they ask for 0 rooms, or 61","refused by the module; one to sixty in one go, so a typo does not create a hotel",module,an_add_is_between_one_and_sixty_rooms,proposed
RB-S2-10,Born blocked,the insert grant,"an insert names status, status_reason, id or created_at","refused (42501): the grant is a column list and those columns are not on it, so a Unit is born available with nothing to say",database_constraint,a_unit_cannot_be_born_blocked,proposed
RB-S2-11,CONCURRENCY — two people add the same numbers,two Staff Members,both add 301 to 304 at the same moment,"one succeeds and the other is refused by the unique index, exactly as in RB-S2-06; no application check took part",database_constraint,a_room_name_already_at_the_property_refuses_the_whole_add,proposed
RB-S2-12,Only a room is let by the bed,the form,they ask for suites let by the bed,"refused by the module, and refused again by accommodation_units_nesting_check for every role: only a room may be a parent (ADR 0025)",module,only_a_room_is_let_by_the_bed,proposed
RB-S2-13,Dividing an existing room,a whole room that already exists,they want to add beds under it,"not this feature: the bulk add creates a room and its beds together. The trigger that would guard it — a room somebody is in cannot be divided — already exists, so the later command is a form and not a rule",module,,deferred
RB-S3-01,Blocking a bed,"an empty bed, and a Staff Member holding accommodation.configure",they block it with the reason ""mattress being replaced"","the bed is blocked with that reason on it, an audit record carries the reason, it leaves the booking form's Unit list, and it is drawn blocked on the map",module,blocking_a_unit_records_the_reason,proposed
RB-S3-02,Without a reason,the same bed,they block it with no reason or one under three characters,refused (23514): a blocked Unit carries a reason and an available one carries none,database_constraint,blocking_without_a_reason_is_refused,proposed
RB-S3-03,Somebody is in it,a bed with an in-house Stay,they block it,"refused (55000): the person in it is not going anywhere because of a status. The trigger reads every Stay, not the ones the caller's policies let through",trigger,a_unit_somebody_is_in_cannot_be_blocked,proposed
RB-S3-04,A room let by the bed,a room with beds under it,they block the room,refused (55000): the room is not sellable and its beds are what a block means; block the bed. Out of order for a whole room is the housekeeping lifecycle's (RANZ-28),trigger,a_room_let_by_the_bed_is_blocked_bed_by_bed,proposed
RB-S3-05,A booking already holds it,an empty bed with a confirmed Reservation arriving next week,they block it,"allowed. The Reservation stands — nothing in the product can move it yet — and the room calendar will show the two together. What the block does is refuse the check-in (RB-S3-06)",module,a_reserved_unit_can_still_be_blocked,proposed
RB-S3-06,Check-in into a blocked Unit,the bed of RB-S3-05 on the arrival day,the front desk checks the Guest in,"refused (55000) by a trigger on stays: a Stay in house cannot begin on a blocked or out-of-service Unit, for every role. The Reservation stays arrivable and the desk sees the Unit is unavailable",trigger,check_in_into_a_blocked_unit_is_refused,proposed
RB-S3-07,CONCURRENCY — block and check-in at once,the same bed,one person blocks it while another checks a Guest into it,"one of the two is refused whichever commits first. The block's BEFORE UPDATE trigger runs with the Unit row locked, and the check-in's trigger takes a share lock on that row before reading its status, so neither reads a status the other is changing",trigger,check_in_into_a_blocked_unit_is_refused,proposed
RB-S3-08,Unblocking,a blocked bed,they unblock it,"the bed is available with no reason on it, an audit record is written, and it is back on the booking form's Unit list",module,unblocking_clears_the_reason,proposed
RB-S3-09,Without the permission,a Staff Member reaching the Property without accommodation.configure,they block or unblock,refused (42501),policy,blocking_without_the_permission_is_refused,proposed
RB-S3-10,A block is the only update,the update grant,"an update names name, unit_type, capacity, building, floor, parent_id, property_id or organization_id","refused (42501): a policy bounds rows and a grant bounds columns, and the only columns a Staff Member may change on a Unit today are its status, the reason, and updated_at",database_constraint,a_unit_cannot_be_moved_by_update,proposed
RB-S3-11,MONEY,a blocked Unit,anything,"nothing: a Unit has no rate and blocking one posts to no Folio and refuses nothing about money. Named so the absence is a decision",module,,out_of_scope
RB-S3-12,REVERSAL — a room added by mistake,room 4O1 added with a letter O,they notice,"it is blocked with a reason and stays: no DELETE grant exists on accommodation_units. Removing a Unit nothing has ever named is a later command and is drawn as an open question in use-case.mmd",database_constraint,a_unit_is_never_deleted,deferred
RB-S3-13,A blocked Unit and the booking form,the bed of RB-S3-01,the front desk opens the booking form,"the bed is not offered: listBookableUnits and createReservation exclude blocked alongside out_of_service, and a booking naming it anyway is refused as unavailable",module,a_blocked_unit_is_not_bookable,proposed
