id,situation,given,when,then,enforced_by,test_name,status
CI-S1-01,Checking a Guest in on the day,"a confirmed Reservation whose first night is the Property's business date, on a ready Unit nobody is in",a Staff Member holding front_desk.check_in presses Check in,"one transaction: the Reservation becomes checked_in, one in_house Stay is created from it, the Folio is opened where the Property bills, stay.checked_in is published and reservation.checked_in is audited naming the actor at the Property. Blueprint 6.1 and 7.4; PR #29, #31, commit eeb3425",module,creates_the_stay_moves_the_reservation_and_records_who_did_it,approved
CI-S1-02,TIME — arriving before the first night,a confirmed Reservation whose first night is after the business date,check-in is pressed,"refused with CheckInError and nothing is written. The module refuses on its date predicate and stays_insert_front_desk refuses an in_house Stay starting after app.property_today() independently, on both the insert and the update path, so a reserved Stay cannot be moved in house early either. PR #31, commit 9331313, 20260916001300",policy,refuses_a_reservation_whose_first_night_has_not_arrived; a_stay_cannot_be_in_house_before_the_day_it_starts; nor_be_moved_to_in_house_while_its_first_night_is_still_in_the_future,approved
CI-S1-03,TIME — a late arrival inside the booking,a confirmed Reservation that began two days ago and still has nights left,the Guest arrives and is checked in,"allowed. The Stay starts on the business date they actually arrived, not the planned one, and the nights they missed are not held by the Stay. PR #31 (the Stay starts on the actual arrival date), commit 9331313",module,starts_the_stay_on_the_day_the_guest_actually_arrived,approved
CI-S1-04,TIME — arriving on the day the booking ends,a confirmed Reservation whose ends_on is the business date,check-in is pressed,"refused: no night is left, and a Stay of [today, today) would hold no Unit. The module requires ends_on > today and stays_in_house_has_a_night refuses the row for every role, the migration role included. Commit 3340579",database_constraint,refuses_a_reservation_whose_last_night_is_tonights_predecessor; a_current_stay_covers_at_least_one_night_an_empty_range_holds_no_unit,approved
CI-S1-05,TIME — arriving after the booking ended,a confirmed Reservation whose last night has already passed,check-in is pressed,"refused with CheckInError; the row has also left the arrivals list (CI-S3-03), so this is reached only from a stale screen. PR #31, commit 610929e",module,refuses_a_reservation_whose_last_night_has_already_passed,approved
CI-S1-06,"TIME — past midnight, before the cutoff","a one-night Reservation for last evening and a Guest landing at 00:30, with the Property's cutoff at 04:00",the desk checks them in,"allowed: the business date is still last evening's, so the Reservation is dated for today and the Stay starts on that business date. Every check-in date comparison goes through app.property_today(). ADR 0021, amended 2026-09-22",database_function,property_today_reads_the_cutoff_in_the_morning_before_it_today_is_still_yesterday,proposed
CI-S1-07,"TIME — before the cutoff, for a booking dated the new calendar day","a Reservation starting on the 5th and a Guest arriving at 02:00 on the 5th, with the cutoff at 04:00",check-in is pressed,"refused as an early arrival until the cutoff passes, because the business date is still the 4th. This follows from ADR 0021's rule, but no source addresses this case and no test exercises it",database_function,,proposed
CI-S1-08,A walk-in,a Guest with no booking at the desk,the desk wants them in a room now,the only path today is to take a booking starting today (createReservation accepts today's date) and then check it in. Nothing creates a Stay without a Reservation. No source states this as the walk-in flow; see CI-NB-01,module,,proposed
CI-S1-09,An open-ended Resident,a confirmed Reservation with no ends_on,the Resident is checked in,"the Stay has no end and holds the Unit from arrival onwards (ADR 0033); a later confirmed booking on that Unit makes the check-in refuse with 55006, because app.stay_holds() gives an open-ended Stay every night. The booking-side rule is FD-S2-04; the check-in side has no test",trigger,,proposed
CI-S1-10,Checking in over somebody else's booking,another confirmed Reservation holds tonight on the Unit,a Stay would go in house over it,"refused with 55006 (object in use), surfaced as UnitHasOccupantError: a Stay may not take nights another confirmed booking holds. ADR 0033",trigger,nobody_is_put_in_a_room_another_confirmed_booking_holds_tonight,approved
CI-S1-11,"CONCURRENCY — two desks, one Reservation",one confirmed Reservation on two screens,"both desks press Check in at once, or one presses it again","one Stay and one refusal. The Reservation's row lock re-evaluates status = 'confirmed' for the second caller, and the unique index on reservation_id (partial: status <> 'cancelled') makes two live Stays for one Reservation unrepresentable. The second desk gets the generic refusal. 20260916001000, ADR 0022 amended",database_constraint,checking_the_same_reservation_in_twice_is_unrepresentable; one_reservation_cannot_have_two_stays_that_are_not_cancelled; refuses_a_reservation_that_has_already_arrived,approved
